8 月 20 日至 8 月 24 日晚餐,,,,
周一,周二,周三,周四,周五
一品排骨,虎眼丸子,川香酸菜鱼,樟茶鸭,风味香酥鸡
干煸双豆,木须肉,小炒肉,香辣毛血旺,干锅散花
水煮肉片,干锅千叶豆腐,肉丝豇豆,蒜苗炒腊肉,鱼香肉丝
麻酱茄子,家常土豆丝,什锦花生米,烧二冬,豉油包菜
木耳蒯菜,圆白菜粉条,三色藕片,香菇油菜,素烧茄子
米饭,米饭,米饭,米饭,米饭
馒头花卷,馒头花卷,馒头花卷,馒头花卷,馒头花卷
玉米发糕,煎饺,手撕饼,芝麻烧饼,鸡蛋饼
疙瘩汤,绿豆汤,蛋花汤,酸梅汤,银耳汤
素炒饼,蒸玉米,豆角焖面,蒸杂粮,爽口凉面
时令水果,时令水果,时令水果,时令水果,时令水果
,,,,
8 月 20 日至 8 月 24 日午餐（B 座）,,,,
周一,周二,周三,周四,周五
香辣酥蟹,盐焗鸡,孜然羊肉,荔汁鱼丁,红烧肉
红焖柴鸡,五香扣肉,翡翠丸子,滋补牛肉,干炸带鱼
黄瓜拌牛肉,麻辣香锅,凉拌鸡丝,风味酱肉,炒三丁
三鲜娃娃菜,桂花糯米藕,白灼甘蓝,尖椒土豆丝,香干芹菜
西红柿鸡蛋,凉拌三丝,黄豆拌西芹,烧二冬,擂椒茄子
炒河粉,蒸玉米,陕西凉皮,煮花生,炒面
面食三种,面食三种,面食三种,面食三种,面食三种
酸辣汤,番茄蛋花汤,紫菜汤,银耳汤,绿豆汤
水果,水果,水果,水果,水果
,桃酥,,驴打滚,
,,,,
8 月 20 日至 8 月 24 日午餐（A 座）,,,,
周一,周二,周三,周四,周五
红烧鱼块,香辣翅根,海带炖排骨,香酥大虾,毛氏红烧肉
农家小炒肉,东北乱炖,水煮肉,青笋木耳炒肉,炸耦合
腰果鸡丁,肉片千页豆腐,木须肉,豆角炒五花肉,香辣肉片
鲍汁油菜,手撕包菜,红烧冬瓜,粉丝娃娃菜,西红柿鸡蛋
炒合菜,素什锦,清炒时蔬,蒸茄子,菊花菜炒宽粉
蒸玉米,炸酱面,虾仁炒饭,意大利肉酱面,老北京打卤面
面食三种,面食三种,面食三种,面食三种,面食三种
稻花香米,稻花香米,稻花香米,稻花香米,稻花香米
鸡蛋汤,玉米粥,紫菜蛋花汤,红枣小米粥,西湖牛肉羹
水果,水果,水果,水果,水果
蔬菜沙拉,西点,蔬菜沙拉,西点,蔬菜沙拉
,,,,
8 月 20 日至 8 月 24 日早餐,,,,
周一,周二,周三,周四,周五
大肉包,酱香饼,沙拉肉松卷,春饼卷菜,德克士和风堡
玉米,蒸饺,火腿三明治,早餐糕,薯饼
煮鸡蛋,鸡蛋,早餐酸奶,茶鸡蛋,核桃牛奶
咸菜,琥珀金丝菜,,琥珀金丝菜,
南瓜粥,小米红枣粥,,紫米粥,
,,,,
,,,,
8 月 13 日至 8 月 17 日晚餐,,,,
周一,周二,周三,周四,周五
红焖牛肉,奥尔良鸡块,红烧狮子头,农家烤鱼,酱香鸡腿
水煮肉片,生爆盐煎肉,宫保鸡丁,孜然肉丁,小炒肉
肉片有机花菜,鱼香肉丝,木须肉,蒜苗炒培根,麻辣香锅
香菇油菜,老厨白菜,三色藕片,素烧双豆,地三鲜
炝拌土豆丝,红烧茄子,豉汁甘蓝,老干妈西葫芦,枸杞冬瓜
米饭,米饭,米饭,米饭,米饭
